id	path	说明
package	package.json	根包版本、工作区、依赖与构建脚本
upstream-readme	README.md	产品入口与三个版本的官方描述
license	LICENSE.md	根目录许可证
notices	THIRD-PARTY-NOTICES.md	第三方组件归属
entry	packages/omo-opencode/src/index.ts	OpenCode 插件导出
bootstrap	packages/omo-opencode/src/testing/create-plugin-module.ts	真实启动与销毁流程
interface	packages/omo-opencode/src/plugin-interface.ts	宿主事件接口
managers	packages/omo-opencode/src/create-managers.ts	后台任务、tmux、MCP 等管理器
tools	packages/omo-opencode/src/plugin/tool-registry.ts	工具注册、开关与数量裁剪
hooks	packages/omo-opencode/src/create-hooks.ts	Hook 组合
config-handler	packages/omo-opencode/src/plugin-handlers/config-handler.ts	配置注入顺序
agents	packages/omo-opencode/src/agents/builtin-agents.ts	内建角色工厂与元数据
sisyphus	packages/omo-opencode/src/agents/sisyphus-agent-factory.ts	主 Agent 的提示词与参数构建
prompt-builder	packages/omo-opencode/src/agents/dynamic-agent-prompt-builder.ts	动态委派和能力目录
agent-assembly	packages/omo-opencode/src/plugin-handlers/agent-config-assembly.ts	Agent 配置装配
commands	packages/omo-opencode/src/features/builtin-commands/commands.ts	当前命令注册
delegate	packages/omo-opencode/src/tools/delegate-task/tools.ts	task 工具调用分支
category	packages/omo-opencode/src/tools/delegate-task/category-resolver.ts	分类、模型和提示词解析
model-requirements	packages/model-core/src/category-model-requirements.ts	分类模型候选链
model-selection	packages/omo-opencode/src/tools/delegate-task/model-selection.ts	委派模型选择
background	packages/omo-opencode/src/features/background-agent/manager.ts	后台任务主协调器
spawner	packages/omo-opencode/src/features/background-agent/spawner.ts	创建子会话并提交任务
attempt	packages/omo-opencode/src/features/background-agent/attempt-lifecycle.ts	尝试、会话绑定和状态投影
concurrency	packages/omo-opencode/src/features/background-agent/concurrency.ts	配额键、队列与取消
poller	packages/omo-opencode/src/features/background-agent/task-poller.ts	失活检测与回收
wake	packages/omo-opencode/src/features/background-agent/parent-wake-notifier.ts	结果通知与父会话唤醒
team-config	packages/team-core/src/config.ts	团队配置与默认值
team-claim	packages/team-core/src/team-tasklist/claim.ts	任务认领锁和二次检查
mailbox	packages/team-core/src/team-mailbox/send.ts	收件箱、背压和广播权限
mailbox-ledger	packages/team-core/src/team-mailbox/consumed-ledger.ts	已消费消息记录
worktree	packages/team-core/src/team-worktree/manager.ts	可选 Git 工作树隔离
dag-tool	packages/omo-senpi/src/components/task/dag-tool.ts	对外 workflow 工具
dag-graph	packages/senpi-task/src/dag/graph.ts	图编译与拓扑检查
dag-types	packages/senpi-task/src/dag/types.ts	节点、运行和路由契约
dag-scheduler	packages/senpi-task/src/dag/scheduler.ts	依赖前沿调度
dag-journal	packages/senpi-task/src/dag/journal.ts	WAL、检查点和订阅
dag-manager	packages/senpi-task/src/dag/manager.ts	幂等运行、图修订与状态
dag-recovery	packages/senpi-task/src/dag/recovery.ts	中断恢复
hash	packages/hashline-core/src/hash-computation.ts	行哈希规范化与输出
hash-validation	packages/hashline-core/src/validation.ts	锚点校验与兼容哈希
hash-apply	packages/hashline-core/src/edit-operations.ts	批量编辑验证及顺序
hash-tool	packages/omo-opencode/src/tools/hashline-edit/tools.ts	OpenCode 编辑工具 Schema
mcps	packages/omo-opencode/src/mcp/index.ts	内建 MCP 注册
skill-context	packages/omo-opencode/src/plugin/skill-context.ts	多来源 Skill 发现与合并
skill-mcp	packages/omo-opencode/src/tools/skill-mcp/tools.ts	Skill 内声明的 MCP 调用
before	packages/omo-opencode/src/plugin/tool-execute-before.ts	工具前 Hook 与参数改写
after	packages/omo-opencode/src/plugin/tool-execute-after.ts	工具后 Hook 及错误处理
transform	packages/omo-opencode/src/plugin/messages-transform.ts	模型输入消息变换
compaction	packages/omo-opencode/src/hooks/compaction-todo-preserver/hook.ts	压缩前后 Todo 保护
continuation	packages/omo-opencode/src/hooks/todo-continuation-enforcer/idle-event.ts	继续执行条件与停止条件
memory-component	packages/omo-senpi/src/components/memory/index.ts	Senpi 记忆组件接线与身份绑定
memory-wiring	packages/omo-senpi/src/components/memory/wiring.ts	检索、反思、写入与关闭协调
memory-compile	packages/memory-core/src/compile/compile.ts	Git revision 到模型上下文
memory-plan	packages/memory-core/src/recall/planner.ts	确定性召回查询规划
memory-search	packages/memory-core/src/search/engine.ts	词法全扫描检索
memory-query	packages/memory-core/src/search/query.ts	AND 匹配、短语与排序公式
memory-reflect	packages/memory-core/src/reflection/machine.ts	反思触发、预留与合并
memory-worktree	packages/memory-core/src/reflection/worktree-integration.ts	反思工作树的合并
codex-plugin	packages/omo-codex/plugin/.codex-plugin/plugin.json	Codex 插件实际清单
codex-mcp	packages/omo-codex/plugin/.mcp.json	Codex MCP 定义
codex-pointer	packages/omo-codex/plugin/components/ultrawork/src/skill-pointer.ts	短上下文指针与全文降级
senpi-components	packages/omo-senpi/src/extension/component-list.ts	Senpi 扩展组件装配
senpi-task	packages/omo-senpi/src/components/task/index.ts	Senpi task、workflow 与团队接线
native-package	packages/omo-native/package.json	原生发行版版本与固定引擎依赖
native-launcher	packages/omo-native/bin/lib/launcher.js	原生启动器、状态目录和扩展加载
config-validation	packages/omo-opencode/src/config/validate.ts	验证、迁移与用户字段保护
config-merge	packages/omo-opencode/src/plugin-config/config-merger.ts	配置深合并与禁用列表并集
config-chain	packages/omo-opencode/src/plugin-config/omo-config-chain.ts	统一配置到 OpenCode 的视图
config-background	packages/omo-opencode/src/config/schema/background-task.ts	并发、失活与深度配置
